Vardas              Pavarde             ND1                 ND2                 ND3                 ND4                 ND5                 Egz.                
Vardas1465          Pavarde1465         8                   5                   2                   4                   10                  10                  
Vardas1466          Pavarde1466         4                   6                   2                   5                   2                   5                   
Vardas1467          Pavarde1467         5                   4                   3                   3                   3                   10                  
Vardas1468          Pavarde1468         10                  4                   6                   8                   1                   10                  
Vardas1469          Pavarde1469         1                   1                   5                   7                   1                   6                   
Vardas1470          Pavarde1470         7                   7                   9                   7                   1                   1                   
Vardas1471          Pavarde1471         5                   5                   8                   10                  5                   7                   
Vardas1472          Pavarde1472         2                   9                   7                   4                   3                   10                  
Vardas1473          Pavarde1473         1                   7                   3                   2                   10                  8                   
Vardas1474          Pavarde1474         3                   1                   7                   3                   8                   6                   
Vardas1475          Pavarde1475         5                   6                   9                   6                   3                   7                   
Vardas1476          Pavarde1476         9                   6                   4                   4                   6                   7                   
Vardas1477          Pavarde1477         7                   2                   1                   3                   1                   1                   
Vardas1478          Pavarde1478         9                   8                   9                   6                   7                   9                   
Vardas1479          Pavarde1479         10                  2                   10                  3                   7                   4                   
Vardas1480          Pavarde1480         7                   6                   9                   8                   1                   7                   
Vardas1481          Pavarde1481         4                   8                   8                   7                   4                   7                   
Vardas1482          Pavarde1482         1                   8                   10                  10                  3                   7                   
Vardas1483          Pavarde1483         10                  3                   9                   5                   2                   2                   
Vardas1484          Pavarde1484         7                   1                   9                   7                   7                   5                   
Vardas1485          Pavarde1485         7                   3                   2                   10                  6                   2                   
Vardas1486          Pavarde1486         7                   9                   3                   6                   6                   8                   
Vardas1487          Pavarde1487         4                   10                  5                   5                   7                   3                   
Vardas1488          Pavarde1488         4                   2                   9                   7                   9                   5                   
Vardas1489          Pavarde1489         2                   8                   2                   10                  4                   4                   
Vardas1490          Pavarde1490         2                   1                   3                   4                   3                   1                   
Vardas1491          Pavarde1491         9                   2                   5                   6                   1                   10                  
Vardas1492          Pavarde1492         9                   7                   5                   4                   7                   8                   
Vardas1493          Pavarde1493         2                   1                   8                   4                   4                   3                   
Vardas1494          Pavarde1494         1                   3                   10                  8                   7                   3                   
Vardas1495          Pavarde1495         6                   2                   1                   9                   4                   4                   
Vardas1496          Pavarde1496         5                   8                   5                   10                  3                   8                   
Vardas1497          Pavarde1497         9                   7                   9                   2                   10                  4                   
Vardas1498          Pavarde1498         5                   3                   7                   5                   5                   7                   
Vardas1499          Pavarde1499         6                   7                   3                   5                   2                   1                   
Vardas1500          Pavarde1500         6                   1                   10                  5                   2                   7                   
Vardas1501          Pavarde1501         7                   9                   7                   8                   9                   5                   
Vardas1502          Pavarde1502         10                  1                   8                   5                   7                   3                   
Vardas1503          Pavarde1503         9                   9                   5                   8                   1                   1                   
Vardas1504          Pavarde1504         8                   7                   8                   5                   3                   9                   
Vardas1505          Pavarde1505         4                   8                   8                   5                   7                   10                  
Vardas1506          Pavarde1506         7                   2                   4                   8                   9                   9                   
Vardas1507          Pavarde1507         6                   7                   6                   3                   4                   9                   
Vardas1508          Pavarde1508         1                   3                   9                   1                   9                   8                   
Vardas1509          Pavarde1509         5                   9                   3                   7                   9                   4                   
Vardas1510          Pavarde1510         10                  9                   7                   9                   7                   6                   
Vardas1511          Pavarde1511         10                  9                   10                  10                  4                   10                  
Vardas1512          Pavarde1512         6                   9                   7                   8                   6                   3                   
Vardas1513          Pavarde1513         6                   9                   10                  3                   1                   10                  
Vardas1514          Pavarde1514         3                   4                   7                   8                   7                   6                   
Vardas1515          Pavarde1515         2                   8                   6                   2                   6                   2                   
Vardas1516          Pavarde1516         7                   1                   4                   2                   3                   1                   
Vardas1517          Pavarde1517         3                   7                   8                   8                   6                   5                   
Vardas1518          Pavarde1518         5                   2                   10                  6                   7                   8                   
Vardas1519          Pavarde1519         6                   7                   3                   2                   3                   7                   
Vardas1520          Pavarde1520         3                   8                   4                   1                   3                   5                   
Vardas1521          Pavarde1521         9                   6                   6                   7                   2                   9                   
Vardas1522          Pavarde1522         2                   4                   1                   8                   7                   1                   
Vardas1523          Pavarde1523         2                   9                   5                   1                   4                   9                   
Vardas1524          Pavarde1524         8                   4                   5                   9                   4                   4                   
Vardas1525          Pavarde1525         2                   6                   7                   3                   4                   4                   
Vardas1526          Pavarde1526         3                   8                   10                  10                  10                  1                   
Vardas1527          Pavarde1527         10                  5                   3                   6                   2                   6                   
Vardas1528          Pavarde1528         1                   2                   8                   8                   8                   6                   
Vardas1529          Pavarde1529         9                   10                  3                   5                   1                   10                  
Vardas1530          Pavarde1530         6                   4                   10                  2                   9                   1                   
Vardas1531          Pavarde1531         10                  2                   8                   5                   4                   3                   
Vardas1532          Pavarde1532         9                   6                   7                   4                   9                   7                   
Vardas1533          Pavarde1533         4                   7                   8                   5                   1                   9                   
Vardas1534          Pavarde1534         10                  9                   2                   6                   3                   10                  
Vardas1535          Pavarde1535         9                   5                   10                  3                   10                  4                   
Vardas1536          Pavarde1536         6                   5                   9                   3                   8                   8                   
Vardas1537          Pavarde1537         3                   10                  5                   4                   8                   6                   
Vardas1538          Pavarde1538         4                   5                   10                  2                   10                  5                   
Vardas1539          Pavarde1539         2                   9                   3                   1                   4                   6                   
Vardas1540          Pavarde1540         9                   10                  2                   1                   5                   2                   
Vardas1541          Pavarde1541         9                   10                  7                   9                   1                   9                   
Vardas1542          Pavarde1542         7                   10                  2                   9                   8                   1                   
Vardas1543          Pavarde1543         8                   2                   3                   1                   2                   2                   
Vardas1544          Pavarde1544         4                   5                   6                   6                   10                  8                   
Vardas1545          Pavarde1545         10                  8                   3                   8                   1                   1                   
Vardas1546          Pavarde1546         9                   2                   6                   3                   10                  5                   
Vardas1547          Pavarde1547         10                  5                   2                   6                   10                  2                   
Vardas1548          Pavarde1548         5                   2                   10                  7                   1                   7                   
Vardas1549          Pavarde1549         7                   1                   8                   5                   10                  7                   
Vardas1550          Pavarde1550         2                   2                   8                   2                   2                   10                  
Vardas1551          Pavarde1551         10                  5                   6                   8                   8                   1                   
Vardas1552          Pavarde1552         4                   4                   9                   9                   8                   1                   
Vardas1553          Pavarde1553         10                  10                  8                   9                   9                   9                   
Vardas1554          Pavarde1554         10                  9                   10                  8                   5                   7                   
Vardas1555          Pavarde1555         10                  3                   5                   10                  8                   9                   
Vardas1556          Pavarde1556         2                   8                   6                   1                   4                   5                   
Vardas1557          Pavarde1557         3                   3                   9                   2                   1                   5                   
Vardas1558          Pavarde1558         5                   4                   9                   8                   9                   8                   
Vardas1559          Pavarde1559         8                   1                   8                   1                   7                   1                   
Vardas1560          Pavarde1560         2                   8                   3                   6                   10                  2                   
Vardas1561          Pavarde1561         2                   4                   9                   4                   2                   10                  
Vardas1562          Pavarde1562         3                   4                   10                  10                  7                   10                  
Vardas1563          Pavarde1563         10                  3                   4                   6                   10                  6                   
Vardas1564          Pavarde1564         4                   6                   9                   10                  2                   10                  
Vardas1565          Pavarde1565         8                   7                   5                   4                   8                   6                   
Vardas1566          Pavarde1566         9                   5                   7                   6                   5                   10                  
Vardas1567          Pavarde1567         3                   3                   8                   2                   1                   6                   
Vardas1568          Pavarde1568         2                   5                   8                   10                  5                   8                   
Vardas1569          Pavarde1569         4                   3                   3                   7                   9                   8                   
Vardas1570          Pavarde1570         2                   1                   9                   9                   6                   3                   
Vardas1571          Pavarde1571         2                   8                   6                   5                   9                   4                   
Vardas1572          Pavarde1572         8                   4                   8                   5                   6                   2                   
Vardas1573          Pavarde1573         3                   10                  10                  8                   8                   1                   
Vardas1574          Pavarde1574         10                  7                   6                   10                  8                   6                   
Vardas1575          Pavarde1575         10                  9                   1                   4                   8                   5                   
Vardas1576          Pavarde1576         4                   8                   2                   7                   3                   6                   
Vardas1577          Pavarde1577         8                   10                  6                   2                   7                   2                   
Vardas1578          Pavarde1578         7                   8                   4                   10                  3                   5                   
Vardas1579          Pavarde1579         6                   4                   9                   6                   6                   9                   
Vardas1580          Pavarde1580         3                   7                   10                  10                  7                   3                   
Vardas1581          Pavarde1581         4                   10                  4                   1                   5                   6                   
Vardas1582          Pavarde1582         10                  5                   6                   2                   7                   4                   
Vardas1583          Pavarde1583         9                   7                   2                   10                  9                   1                   
Vardas1584          Pavarde1584         10                  2                   1                   4                   3                   3                   
Vardas1585          Pavarde1585         1                   3                   3                   4                   8                   10                  
Vardas1586          Pavarde1586         1                   6                   2                   6                   6                   6                   
Vardas1587          Pavarde1587         6                   3                   4                   6                   7                   9                   
Vardas1588          Pavarde1588         2                   4                   2                   1                   3                   1                   
Vardas1589          Pavarde1589         7                   8                   9                   3                   1                   4                   
Vardas1590          Pavarde1590         2                   4                   3                   9                   5                   2                   
Vardas1591          Pavarde1591         9                   10                  3                   8                   8                   2                   
Vardas1592          Pavarde1592         1                   4                   6                   8                   1                   6                   
Vardas1593          Pavarde1593         6                   2                   5                   4                   1                   2                   
Vardas1594          Pavarde1594         6                   3                   9                   2                   9                   2                   
Vardas1595          Pavarde1595         10                  8                   5                   6                   2                   1                   
Vardas1596          Pavarde1596         7                   7                   1                   7                   3                   3                   
Vardas1597          Pavarde1597         3                   5                   1                   9                   4                   9                   
Vardas1598          Pavarde1598         8                   3                   7                   5                   7                   8                   
Vardas1599          Pavarde1599         8                   8                   3                   8                   2                   9                   
Vardas1600          Pavarde1600         9                   9                   4                   5                   7                   5                   
Vardas1601          Pavarde1601         2                   1                   8                   6                   6                   5                   
Vardas1602          Pavarde1602         9                   1                   3                   1                   10                  4                   
Vardas1603          Pavarde1603         6                   3                   6                   3                   1                   9                   
Vardas1604          Pavarde1604         7                   8                   4                   2                   5                   3                   
Vardas1605          Pavarde1605         6                   9                   7                   4                   7                   1                   
Vardas1606          Pavarde1606         2                   7                   7                   6                   10                  5                   
Vardas1607          Pavarde1607         1                   10                  4                   9                   10                  5                   
Vardas1608          Pavarde1608         4                   3                   7                   8                   3                   3                   
Vardas1609          Pavarde1609         9                   9                   7                   9                   2                   5                   
Vardas1610          Pavarde1610         8                   8                   4                   6                   7                   9                   
Vardas1611          Pavarde1611         2                   3                   3                   1                   10                  9                   
Vardas1612          Pavarde1612         5                   8                   6                   3                   6                   6                   
Vardas1613          Pavarde1613         6                   4                   7                   10                  6                   8                   
Vardas1614          Pavarde1614         5                   1                   8                   9                   3                   4                   
Vardas1615          Pavarde1615         9                   9                   5                   8                   4                   10                  
Vardas1616          Pavarde1616         7                   8                   2                   4                   1                   5                   
Vardas1617          Pavarde1617         7                   3                   7                   6                   4                   1                   
Vardas1618          Pavarde1618         4                   2                   9                   3                   3                   10                  
Vardas1619          Pavarde1619         2                   4                   2                   5                   1                   8                   
Vardas1620          Pavarde1620         8                   9                   8                   1                   6                   7                   
Vardas1621          Pavarde1621         2                   5                   7                   10                  10                  4                   
Vardas1622          Pavarde1622         5                   4                   6                   4                   5                   3                   
Vardas1623          Pavarde1623         8                   10                  7                   5                   10                  2                   
Vardas1624          Pavarde1624         6                   7                   4                   6                   6                   2                   
Vardas1625          Pavarde1625         3                   1                   9                   8                   3                   6                   
Vardas1626          Pavarde1626         6                   9                   1                   7                   10                  10                  
Vardas1627          Pavarde1627         2                   2                   2                   10                  1                   5                   
Vardas1628          Pavarde1628         5                   9                   7                   7                   5                   5                   
Vardas1629          Pavarde1629         7                   9                   3                   7                   1                   3                   
Vardas1630          Pavarde1630         5                   2                   3                   2                   4                   8                   
Vardas1631          Pavarde1631         5                   9                   9                   1                   4                   2                   
Vardas1632          Pavarde1632         4                   7                   3                   5                   6                   9                   
Vardas1633          Pavarde1633         9                   7                   2                   8                   8                   1                   
Vardas1634          Pavarde1634         8                   3                   9                   3                   4                   1                   
Vardas1635          Pavarde1635         6                   10                  7                   3                   4                   4                   
Vardas1636          Pavarde1636         4                   1                   6                   8                   1                   7                   
Vardas1637          Pavarde1637         3                   4                   4                   7                   6                   7                   
Vardas1638          Pavarde1638         6                   2                   5                   4                   3                   1                   
Vardas1639          Pavarde1639         4                   4                   2                   8                   1                   1                   
Vardas1640          Pavarde1640         4                   3                   7                   9                   5                   2                   
Vardas1641          Pavarde1641         6                   6                   9                   5                   6                   5                   
Vardas1642          Pavarde1642         2                   1                   8                   4                   8                   4                   
Vardas1643          Pavarde1643         4                   10                  6                   7                   4                   9                   
Vardas1644          Pavarde1644         6                   3                   8                   5                   1                   3                   
Vardas1645          Pavarde1645         9                   3                   2                   1                   7                   3                   
Vardas1646          Pavarde1646         5                   3                   10                  4                   3                   4                   
Vardas1647          Pavarde1647         4                   5                   10                  10                  4                   1                   
Vardas1648          Pavarde1648         3                   7                   8                   3                   2                   6                   
Vardas1649          Pavarde1649         9                   8                   7                   8                   10                  7                   
Vardas1650          Pavarde1650         9                   5                   9                   10                  2                   6                   
Vardas1651          Pavarde1651         3                   9                   9                   3                   8                   2                   
Vardas1652          Pavarde1652         2                   9                   1                   3                   8                   9                   
Vardas1653          Pavarde1653         3                   3                   3                   6                   10                  5                   
Vardas1654          Pavarde1654         10                  4                   6                   10                  10                  10                  
Vardas1655          Pavarde1655         1                   6                   8                   9                   3                   3                   
Vardas1656          Pavarde1656         8                   10                  4                   4                   5                   2                   
Vardas1657          Pavarde1657         6                   7                   8                   9                   2                   2                   
Vardas1658          Pavarde1658         6                   7                   10                  3                   6                   1                   
Vardas1659          Pavarde1659         9                   3                   8                   7                   1                   8                   
Vardas1660          Pavarde1660         3                   3                   9                   1                   7                   4                   
Vardas1661          Pavarde1661         5                   4                   4                   6                   5                   2                   
Vardas1662          Pavarde1662         3                   2                   3                   6                   3                   8                   
Vardas1663          Pavarde1663         4                   10                  1                   7                   7                   8                   
Vardas1664          Pavarde1664         7                   7                   1                   8                   8                   9                   
Vardas1665          Pavarde1665         1                   4                   2                   2                   9                   3                   
Vardas1666          Pavarde1666         10                  3                   8                   2                   10                  5                   
Vardas1667          Pavarde1667         3                   9                   7                   10                  10                  2                   
Vardas1668          Pavarde1668         3                   10                  5                   8                   9                   10                  
Vardas1669          Pavarde1669         6                   4                   2                   9                   9                   2                   
Vardas1670          Pavarde1670         8                   7                   2                   6                   1                   10                  
Vardas1671          Pavarde1671         1                   8                   9                   5                   9                   6                   
Vardas1672          Pavarde1672         7                   2                   1                   10                  3                   2                   
Vardas1673          Pavarde1673         7                   5                   1                   5                   5                   10                  
Vardas1674          Pavarde1674         7                   1                   6                   10                  4                   5                   
Vardas1675          Pavarde1675         7                   5                   4                   7                   5                   7                   
Vardas1676          Pavarde1676         7                   7                   7                   8                   4                   10                  
Vardas1677          Pavarde1677         4                   6                   1                   7                   9                   6                   
Vardas1678          Pavarde1678         8                   6                   2                   5                   7                   6                   
Vardas1679          Pavarde1679         4                   1                   5                   7                   10                  4                   
Vardas1680          Pavarde1680         6                   7                   4                   2                   9                   6                   
Vardas1681          Pavarde1681         7                   9                   8                   3                   7                   2                   
Vardas1682          Pavarde1682         7                   2                   6                   8                   10                  2                   
Vardas1683          Pavarde1683         2                   2                   6                   3                   2                   2                   
Vardas1684          Pavarde1684         8                   9                   9                   10                  10                  7                   
Vardas1685          Pavarde1685         2                   1                   8                   3                   1                   8                   
Vardas1686          Pavarde1686         9                   10                  9                   8                   6                   6                   
Vardas1687          Pavarde1687         4                   5                   4                   1                   9                   3                   
Vardas1688          Pavarde1688         10                  5                   8                   2                   8                   6                   
Vardas1689          Pavarde1689         7                   4                   9                   4                   4                   7                   
Vardas1690          Pavarde1690         10                  9                   4                   10                  5                   7                   
Vardas1691          Pavarde1691         6                   5                   1                   7                   10                  10                  
Vardas1692          Pavarde1692         5                   3                   6                   8                   7                   6                   
Vardas1693          Pavarde1693         5                   8                   5                   5                   4                   4                   
Vardas1694          Pavarde1694         9                   10                  8                   1                   4                   4                   
Vardas1695          Pavarde1695         1                   1                   4                   1                   9                   1                   
Vardas1696          Pavarde1696         4                   6                   7                   6                   8                   4                   
Vardas1697          Pavarde1697         4                   10                  9                   10                  8                   4                   
Vardas1698          Pavarde1698         7                   4                   6                   8                   5                   9                   
Vardas1699          Pavarde1699         6                   6                   5                   2                   4                   1                   
Vardas1700          Pavarde1700         5                   8                   10                  6                   10                  5                   
Vardas1701          Pavarde1701         7                   3                   2                   9                   3                   8                   
Vardas1702          Pavarde1702         4                   7                   6                   10                  10                  3                   
Vardas1703          Pavarde1703         9                   9                   2                   5                   10                  10                  
Vardas1704          Pavarde1704         4                   2                   7                   2                   4                   1                   
Vardas1705          Pavarde1705         4                   10                  9                   6                   10                  3                   
Vardas1706          Pavarde1706         3                   6                   9                   1                   10                  10                  
Vardas1707          Pavarde1707         10                  5                   9                   7                   8                   9                   
Vardas1708          Pavarde1708         6                   1                   5                   3                   7                   7                   
Vardas1709          Pavarde1709         8                   10                  6                   6                   10                  8                   
Vardas1710          Pavarde1710         1                   6                   7                   6                   1                   6                   
Vardas1711          Pavarde1711         7                   5                   3                   5                   2                   5                   
Vardas1712          Pavarde1712         8                   9                   3                   2                   2                   10                  
Vardas1713          Pavarde1713         5                   8                   3                   7                   4                   9                   
Vardas1714          Pavarde1714         1                   4                   2                   4                   1                   6                   
Vardas1715          Pavarde1715         1                   1                   1                   2                   2                   3                   
Vardas1716          Pavarde1716         3                   1                   10                  10                  9                   3                   
Vardas1717          Pavarde1717         7                   10                  7                   1                   7                   10                  
Vardas1718          Pavarde1718         9                   6                   5                   6                   2                   7                   
Vardas1719          Pavarde1719         5                   10                  2                   1                   3                   3                   
Vardas1720          Pavarde1720         4                   2                   5                   4                   6                   10                  
Vardas1721          Pavarde1721         8                   1                   8                   9                   7                   1                   
Vardas1722          Pavarde1722         6                   9                   9                   1                   3                   6                   
Vardas1723          Pavarde1723         3                   9                   7                   2                   5                   1                   
Vardas1724          Pavarde1724         3                   9                   7                   4                   10                  9                   
Vardas1725          Pavarde1725         2                   8                   5                   4                   10                  2                   
Vardas1726          Pavarde1726         5                   10                  1                   2                   6                   2                   
Vardas1727          Pavarde1727         9                   7                   1                   4                   5                   8                   
Vardas1728          Pavarde1728         10                  2                   8                   6                   6                   10                  
Vardas1729          Pavarde1729         6                   1                   6                   1                   8                   2                   
Vardas1730          Pavarde1730         5                   1                   1                   7                   7                   1                   
Vardas1731          Pavarde1731         9                   7                   8                   10                  4                   1                   
Vardas1732          Pavarde1732         3                   8                   5                   4                   5                   7                   
Vardas1733          Pavarde1733         8                   3                   6                   8                   9                   5                   
Vardas1734          Pavarde1734         5                   8                   5                   8                   7                   5                   
Vardas1735          Pavarde1735         10                  4                   3                   8                   2                   5                   
Vardas1736          Pavarde1736         1                   9                   6                   6                   3                   10                  
Vardas1737          Pavarde1737         8                   7                   7                   4                   6                   7                   
Vardas1738          Pavarde1738         10                  1                   6                   9                   9                   10                  
Vardas1739          Pavarde1739         1                   1                   6                   5                   5                   6                   
Vardas1740          Pavarde1740         10                  1                   4                   1                   5                   7                   
Vardas1741          Pavarde1741         1                   7                   4                   4                   4                   3                   
Vardas1742          Pavarde1742         8                   1                   2                   6                   2                   5                   
