Vardas              Pavarde             ND1                 ND2                 Egz.                
Vardas72            Pavarde72           10                  3                   3                   
Vardas73            Pavarde73           9                   4                   9                   
Vardas74            Pavarde74           6                   7                   8                   
Vardas75            Pavarde75           10                  5                   4                   
Vardas76            Pavarde76           5                   3                   3                   
Vardas77            Pavarde77           1                   9                   3                   
Vardas78            Pavarde78           10                  6                   4                   
Vardas79            Pavarde79           5                   3                   1                   
Vardas80            Pavarde80           10                  2                   5                   
Vardas81            Pavarde81           3                   8                   3                   
Vardas82            Pavarde82           2                   4                   7                   
Vardas83            Pavarde83           9                   10                  8                   
Vardas84            Pavarde84           4                   3                   5                   
Vardas85            Pavarde85           7                   4                   5                   
Vardas86            Pavarde86           3                   10                  8                   
Vardas87            Pavarde87           4                   4                   3                   
Vardas88            Pavarde88           8                   8                   3                   
Vardas89            Pavarde89           10                  7                   2                   
Vardas90            Pavarde90           4                   1                   1                   
Vardas91            Pavarde91           7                   8                   10                  
Vardas92            Pavarde92           10                  2                   4                   
Vardas93            Pavarde93           1                   5                   5                   
Vardas94            Pavarde94           7                   8                   9                   
Vardas95            Pavarde95           7                   4                   2                   
Vardas96            Pavarde96           6                   6                   7                   
Vardas97            Pavarde97           9                   2                   6                   
Vardas98            Pavarde98           10                  8                   8                   
Vardas99            Pavarde99           2                   2                   1                   
Vardas100           Pavarde100          8                   4                   4                   
Vardas101           Pavarde101          1                   5                   5                   
Vardas102           Pavarde102          1                   2                   9                   
Vardas103           Pavarde103          10                  8                   1                   
Vardas104           Pavarde104          3                   2                   9                   
Vardas105           Pavarde105          5                   4                   2                   
Vardas106           Pavarde106          5                   3                   6                   
Vardas107           Pavarde107          6                   1                   3                   
Vardas108           Pavarde108          10                  3                   9                   
Vardas109           Pavarde109          9                   6                   4                   
Vardas110           Pavarde110          10                  5                   3                   
Vardas111           Pavarde111          7                   6                   1                   
Vardas112           Pavarde112          2                   9                   5                   
Vardas113           Pavarde113          1                   8                   2                   
Vardas114           Pavarde114          2                   4                   4                   
Vardas115           Pavarde115          6                   4                   7                   
Vardas116           Pavarde116          6                   2                   7                   
Vardas117           Pavarde117          10                  7                   2                   
Vardas118           Pavarde118          2                   5                   3                   
Vardas119           Pavarde119          2                   3                   10                  
Vardas120           Pavarde120          7                   9                   3                   
Vardas121           Pavarde121          9                   9                   9                   
Vardas122           Pavarde122          8                   8                   5                   
Vardas123           Pavarde123          10                  8                   1                   
Vardas124           Pavarde124          2                   4                   8                   
Vardas125           Pavarde125          4                   3                   4                   
Vardas126           Pavarde126          10                  9                   2                   
Vardas127           Pavarde127          8                   6                   7                   
Vardas128           Pavarde128          3                   10                  6                   
Vardas129           Pavarde129          10                  2                   8                   
Vardas130           Pavarde130          10                  1                   9                   
Vardas131           Pavarde131          9                   9                   1                   
Vardas132           Pavarde132          8                   8                   8                   
Vardas133           Pavarde133          3                   1                   1                   
Vardas134           Pavarde134          1                   6                   9                   
Vardas135           Pavarde135          7                   6                   1                   
Vardas136           Pavarde136          10                  9                   7                   
Vardas137           Pavarde137          5                   3                   1                   
Vardas138           Pavarde138          5                   5                   9                   
Vardas139           Pavarde139          2                   2                   10                  
Vardas140           Pavarde140          10                  5                   8                   
Vardas141           Pavarde141          3                   6                   3                   
Vardas142           Pavarde142          4                   9                   7                   
Vardas143           Pavarde143          4                   7                   6                   
Vardas144           Pavarde144          2                   6                   2                   
Vardas145           Pavarde145          3                   10                  4                   
Vardas146           Pavarde146          6                   6                   6                   
Vardas147           Pavarde147          1                   9                   2                   
Vardas148           Pavarde148          5                   1                   8                   
Vardas149           Pavarde149          4                   1                   4                   
Vardas150           Pavarde150          1                   1                   4                   
Vardas151           Pavarde151          6                   7                   6                   
Vardas152           Pavarde152          10                  2                   2                   
Vardas153           Pavarde153          2                   7                   1                   
Vardas154           Pavarde154          4                   7                   4                   
Vardas155           Pavarde155          1                   2                   1                   
Vardas156           Pavarde156          2                   9                   9                   
Vardas157           Pavarde157          7                   4                   9                   
Vardas158           Pavarde158          10                  10                  1                   
Vardas159           Pavarde159          9                   4                   10                  
Vardas160           Pavarde160          4                   10                  1                   
Vardas161           Pavarde161          6                   6                   7                   
Vardas162           Pavarde162          2                   8                   1                   
Vardas163           Pavarde163          2                   6                   6                   
Vardas164           Pavarde164          2                   6                   9                   
Vardas165           Pavarde165          3                   6                   4                   
Vardas166           Pavarde166          9                   9                   6                   
Vardas167           Pavarde167          10                  5                   8                   
Vardas168           Pavarde168          3                   10                  4                   
Vardas169           Pavarde169          9                   10                  1                   
Vardas170           Pavarde170          1                   2                   5                   
Vardas171           Pavarde171          2                   2                   3                   
Vardas172           Pavarde172          9                   1                   1                   
Vardas173           Pavarde173          2                   8                   10                  
Vardas174           Pavarde174          5                   3                   1                   
Vardas175           Pavarde175          6                   9                   8                   
Vardas176           Pavarde176          4                   9                   5                   
Vardas177           Pavarde177          3                   7                   10                  
Vardas178           Pavarde178          1                   10                  8                   
Vardas179           Pavarde179          6                   2                   4                   
Vardas180           Pavarde180          3                   4                   2                   
Vardas181           Pavarde181          6                   4                   2                   
Vardas182           Pavarde182          2                   4                   1                   
Vardas183           Pavarde183          9                   1                   3                   
Vardas184           Pavarde184          3                   7                   9                   
Vardas185           Pavarde185          10                  4                   6                   
Vardas186           Pavarde186          6                   10                  3                   
Vardas187           Pavarde187          10                  2                   4                   
Vardas188           Pavarde188          3                   2                   9                   
Vardas189           Pavarde189          8                   2                   2                   
Vardas190           Pavarde190          6                   9                   3                   
Vardas191           Pavarde191          5                   7                   6                   
Vardas192           Pavarde192          4                   6                   3                   
Vardas193           Pavarde193          7                   10                  5                   
Vardas194           Pavarde194          9                   10                  3                   
Vardas195           Pavarde195          9                   1                   7                   
Vardas196           Pavarde196          2                   8                   4                   
Vardas197           Pavarde197          3                   6                   3                   
Vardas198           Pavarde198          6                   10                  7                   
Vardas199           Pavarde199          5                   2                   4                   
Vardas200           Pavarde200          8                   7                   2                   
Vardas201           Pavarde201          10                  5                   2                   
Vardas202           Pavarde202          2                   1                   5                   
Vardas203           Pavarde203          10                  10                  7                   
Vardas204           Pavarde204          7                   10                  3                   
Vardas205           Pavarde205          9                   10                  8                   
Vardas206           Pavarde206          5                   3                   3                   
Vardas207           Pavarde207          3                   5                   6                   
Vardas208           Pavarde208          8                   2                   4                   
Vardas209           Pavarde209          9                   3                   6                   
Vardas210           Pavarde210          10                  8                   3                   
Vardas211           Pavarde211          9                   8                   10                  
Vardas212           Pavarde212          8                   8                   1                   
Vardas213           Pavarde213          9                   10                  8                   
Vardas214           Pavarde214          2                   9                   9                   
Vardas215           Pavarde215          1                   3                   2                   
Vardas216           Pavarde216          8                   7                   5                   
Vardas217           Pavarde217          10                  2                   5                   
Vardas218           Pavarde218          9                   10                  2                   
Vardas219           Pavarde219          7                   2                   4                   
Vardas220           Pavarde220          8                   7                   4                   
Vardas221           Pavarde221          6                   10                  2                   
Vardas222           Pavarde222          8                   5                   10                  
Vardas223           Pavarde223          10                  10                  3                   
Vardas224           Pavarde224          9                   10                  1                   
Vardas225           Pavarde225          1                   8                   4                   
Vardas226           Pavarde226          8                   1                   8                   
Vardas227           Pavarde227          5                   5                   6                   
Vardas228           Pavarde228          8                   6                   10                  
Vardas229           Pavarde229          9                   9                   3                   
Vardas230           Pavarde230          2                   3                   2                   
Vardas231           Pavarde231          4                   6                   7                   
Vardas232           Pavarde232          7                   1                   8                   
Vardas233           Pavarde233          9                   4                   4                   
Vardas234           Pavarde234          9                   9                   1                   
Vardas235           Pavarde235          6                   2                   9                   
Vardas236           Pavarde236          6                   8                   9                   
Vardas237           Pavarde237          10                  3                   1                   
Vardas238           Pavarde238          7                   2                   6                   
Vardas239           Pavarde239          6                   10                  5                   
Vardas240           Pavarde240          8                   5                   1                   
Vardas241           Pavarde241          4                   6                   6                   
Vardas242           Pavarde242          5                   2                   1                   
Vardas243           Pavarde243          7                   4                   1                   
Vardas244           Pavarde244          9                   9                   8                   
Vardas245           Pavarde245          9                   9                   3                   
Vardas246           Pavarde246          7                   1                   4                   
Vardas247           Pavarde247          8                   6                   10                  
Vardas248           Pavarde248          1                   7                   9                   
Vardas249           Pavarde249          2                   1                   8                   
Vardas250           Pavarde250          10                  10                  3                   
Vardas251           Pavarde251          8                   5                   5                   
Vardas252           Pavarde252          1                   2                   3                   
Vardas253           Pavarde253          4                   1                   9                   
Vardas254           Pavarde254          4                   4                   6                   
Vardas255           Pavarde255          2                   6                   2                   
Vardas256           Pavarde256          4                   6                   2                   
Vardas257           Pavarde257          4                   2                   10                  
Vardas258           Pavarde258          2                   5                   10                  
Vardas259           Pavarde259          7                   4                   3                   
Vardas260           Pavarde260          3                   8                   10                  
Vardas261           Pavarde261          5                   9                   8                   
Vardas262           Pavarde262          7                   1                   6                   
Vardas263           Pavarde263          9                   1                   10                  
Vardas264           Pavarde264          2                   3                   9                   
Vardas265           Pavarde265          6                   9                   1                   
Vardas266           Pavarde266          9                   10                  1                   
Vardas267           Pavarde267          8                   3                   8                   
Vardas268           Pavarde268          7                   7                   1                   
Vardas269           Pavarde269          5                   9                   3                   
Vardas270           Pavarde270          10                  1                   1                   
Vardas271           Pavarde271          6                   4                   7                   
Vardas272           Pavarde272          7                   3                   4                   
Vardas273           Pavarde273          1                   2                   9                   
Vardas274           Pavarde274          1                   2                   9                   
Vardas275           Pavarde275          5                   5                   5                   
Vardas276           Pavarde276          2                   8                   1                   
Vardas277           Pavarde277          3                   5                   7                   
Vardas278           Pavarde278          4                   7                   2                   
Vardas279           Pavarde279          5                   7                   10                  
Vardas280           Pavarde280          8                   4                   9                   
Vardas281           Pavarde281          2                   9                   7                   
Vardas282           Pavarde282          10                  9                   8                   
Vardas283           Pavarde283          8                   2                   3                   
Vardas284           Pavarde284          5                   6                   9                   
Vardas285           Pavarde285          10                  5                   7                   
Vardas286           Pavarde286          9                   5                   5                   
Vardas287           Pavarde287          2                   10                  2                   
Vardas288           Pavarde288          10                  1                   9                   
Vardas289           Pavarde289          2                   10                  1                   
Vardas290           Pavarde290          6                   5                   10                  
Vardas291           Pavarde291          4                   9                   5                   
Vardas292           Pavarde292          7                   2                   2                   
Vardas293           Pavarde293          10                  5                   4                   
Vardas294           Pavarde294          8                   7                   2                   
Vardas295           Pavarde295          8                   9                   8                   
Vardas296           Pavarde296          5                   7                   6                   
Vardas297           Pavarde297          6                   6                   6                   
Vardas298           Pavarde298          10                  8                   9                   
Vardas299           Pavarde299          1                   5                   10                  
Vardas300           Pavarde300          8                   2                   4                   
Vardas301           Pavarde301          2                   10                  9                   
Vardas302           Pavarde302          1                   8                   4                   
Vardas303           Pavarde303          1                   2                   9                   
Vardas304           Pavarde304          7                   10                  4                   
Vardas305           Pavarde305          1                   9                   3                   
Vardas306           Pavarde306          1                   4                   3                   
Vardas307           Pavarde307          7                   9                   4                   
Vardas308           Pavarde308          6                   5                   1                   
Vardas309           Pavarde309          4                   2                   6                   
Vardas310           Pavarde310          4                   3                   5                   
Vardas311           Pavarde311          8                   1                   9                   
Vardas312           Pavarde312          5                   10                  6                   
Vardas313           Pavarde313          7                   1                   5                   
Vardas314           Pavarde314          6                   1                   5                   
Vardas315           Pavarde315          6                   5                   2                   
Vardas316           Pavarde316          2                   5                   1                   
Vardas317           Pavarde317          5                   4                   1                   
Vardas318           Pavarde318          5                   9                   7                   
Vardas319           Pavarde319          6                   7                   1                   
Vardas320           Pavarde320          5                   8                   9                   
Vardas321           Pavarde321          7                   10                  6                   
Vardas322           Pavarde322          5                   7                   6                   
Vardas323           Pavarde323          5                   3                   2                   
Vardas324           Pavarde324          3                   7                   1                   
Vardas325           Pavarde325          7                   5                   4                   
Vardas326           Pavarde326          9                   3                   2                   
Vardas327           Pavarde327          9                   5                   8                   
Vardas328           Pavarde328          6                   3                   6                   
Vardas329           Pavarde329          7                   10                  7                   
Vardas330           Pavarde330          9                   4                   1                   
Vardas331           Pavarde331          8                   1                   5                   
Vardas332           Pavarde332          10                  10                  10                  
Vardas333           Pavarde333          3                   6                   7                   
Vardas334           Pavarde334          1                   8                   9                   
Vardas335           Pavarde335          3                   4                   4                   
Vardas336           Pavarde336          4                   2                   6                   
Vardas337           Pavarde337          4                   4                   6                   
Vardas338           Pavarde338          2                   10                  2                   
Vardas339           Pavarde339          3                   9                   8                   
Vardas340           Pavarde340          6                   10                  1                   
Vardas341           Pavarde341          2                   7                   3                   
Vardas342           Pavarde342          6                   3                   7                   
Vardas343           Pavarde343          3                   7                   1                   
Vardas344           Pavarde344          6                   5                   10                  
Vardas345           Pavarde345          8                   7                   5                   
Vardas346           Pavarde346          7                   8                   10                  
Vardas347           Pavarde347          6                   8                   1                   
Vardas348           Pavarde348          2                   3                   8                   
Vardas349           Pavarde349          1                   6                   2                   
Vardas350           Pavarde350          9                   2                   10                  
Vardas351           Pavarde351          6                   8                   10                  
Vardas352           Pavarde352          4                   7                   4                   
Vardas353           Pavarde353          5                   2                   4                   
Vardas354           Pavarde354          2                   1                   10                  
Vardas355           Pavarde355          7                   9                   8                   
Vardas356           Pavarde356          7                   10                  1                   
Vardas357           Pavarde357          3                   6                   10                  
Vardas358           Pavarde358          9                   8                   2                   
Vardas359           Pavarde359          6                   5                   7                   
Vardas360           Pavarde360          4                   7                   8                   
Vardas361           Pavarde361          6                   5                   8                   
Vardas362           Pavarde362          7                   1                   5                   
Vardas363           Pavarde363          3                   5                   9                   
Vardas364           Pavarde364          8                   2                   1                   
Vardas365           Pavarde365          2                   3                   4                   
Vardas366           Pavarde366          10                  10                  9                   
Vardas367           Pavarde367          7                   6                   8                   
Vardas368           Pavarde368          10                  6                   1                   
Vardas369           Pavarde369          4                   9                   2                   
Vardas370           Pavarde370          3                   7                   10                  
Vardas371           Pavarde371          3                   1                   9                   
Vardas372           Pavarde372          8                   8                   8                   
Vardas373           Pavarde373          1                   4                   2                   
Vardas374           Pavarde374          5                   8                   10                  
Vardas375           Pavarde375          1                   4                   6                   
Vardas376           Pavarde376          7                   1                   7                   
Vardas377           Pavarde377          1                   10                  5                   
Vardas378           Pavarde378          10                  7                   4                   
Vardas379           Pavarde379          4                   2                   3                   
Vardas380           Pavarde380          1                   1                   2                   
Vardas381           Pavarde381          10                  3                   2                   
Vardas382           Pavarde382          4                   5                   8                   
Vardas383           Pavarde383          3                   1                   10                  
Vardas384           Pavarde384          8                   4                   7                   
Vardas385           Pavarde385          1                   3                   7                   
Vardas386           Pavarde386          5                   5                   8                   
Vardas387           Pavarde387          9                   4                   5                   
Vardas388           Pavarde388          8                   9                   7                   
Vardas389           Pavarde389          8                   8                   10                  
Vardas390           Pavarde390          3                   3                   7                   
Vardas391           Pavarde391          2                   8                   9                   
Vardas392           Pavarde392          5                   4                   9                   
Vardas393           Pavarde393          10                  9                   8                   
Vardas394           Pavarde394          8                   4                   10                  
Vardas395           Pavarde395          4                   7                   2                   
Vardas396           Pavarde396          8                   7                   2                   
Vardas397           Pavarde397          3                   3                   8                   
Vardas398           Pavarde398          9                   6                   1                   
Vardas399           Pavarde399          5                   7                   4                   
Vardas400           Pavarde400          7                   9                   6                   
Vardas401           Pavarde401          7                   1                   6                   
Vardas402           Pavarde402          7                   6                   2                   
Vardas403           Pavarde403          8                   10                  7                   
Vardas404           Pavarde404          2                   1                   3                   
Vardas405           Pavarde405          8                   5                   4                   
Vardas406           Pavarde406          5                   1                   8                   
Vardas407           Pavarde407          8                   1                   7                   
Vardas408           Pavarde408          9                   4                   8                   
Vardas409           Pavarde409          3                   5                   9                   
Vardas410           Pavarde410          5                   9                   1                   
Vardas411           Pavarde411          6                   1                   5                   
Vardas412           Pavarde412          3                   7                   9                   
Vardas413           Pavarde413          7                   8                   3                   
Vardas414           Pavarde414          6                   6                   5                   
Vardas415           Pavarde415          9                   9                   7                   
Vardas416           Pavarde416          4                   9                   7                   
Vardas417           Pavarde417          2                   7                   7                   
Vardas418           Pavarde418          3                   6                   10                  
Vardas419           Pavarde419          6                   3                   8                   
Vardas420           Pavarde420          1                   2                   7                   
Vardas421           Pavarde421          5                   6                   2                   
Vardas422           Pavarde422          2                   2                   8                   
Vardas423           Pavarde423          6                   1                   10                  
Vardas424           Pavarde424          10                  10                  1                   
Vardas425           Pavarde425          9                   9                   2                   
Vardas426           Pavarde426          4                   7                   10                  
Vardas427           Pavarde427          8                   5                   4                   
Vardas428           Pavarde428          8                   8                   8                   
Vardas429           Pavarde429          6                   10                  1                   
Vardas430           Pavarde430          5                   1                   3                   
Vardas431           Pavarde431          3                   2                   3                   
Vardas432           Pavarde432          7                   3                   9                   
Vardas433           Pavarde433          1                   9                   7                   
Vardas434           Pavarde434          9                   7                   5                   
Vardas435           Pavarde435          9                   6                   6                   
Vardas436           Pavarde436          4                   3                   5                   
Vardas437           Pavarde437          2                   2                   7                   
Vardas438           Pavarde438          1                   3                   8                   
Vardas439           Pavarde439          6                   5                   5                   
Vardas440           Pavarde440          2                   8                   4                   
Vardas441           Pavarde441          7                   6                   6                   
Vardas442           Pavarde442          7                   8                   6                   
Vardas443           Pavarde443          5                   6                   3                   
Vardas444           Pavarde444          2                   9                   2                   
Vardas445           Pavarde445          6                   8                   4                   
Vardas446           Pavarde446          5                   8                   4                   
Vardas447           Pavarde447          9                   4                   8                   
Vardas448           Pavarde448          3                   3                   1                   
Vardas449           Pavarde449          1                   8                   8                   
Vardas450           Pavarde450          4                   5                   10                  
Vardas451           Pavarde451          5                   7                   3                   
Vardas452           Pavarde452          10                  10                  2                   
Vardas453           Pavarde453          2                   6                   7                   
Vardas454           Pavarde454          9                   4                   9                   
Vardas455           Pavarde455          7                   9                   1                   
Vardas456           Pavarde456          4                   1                   7                   
Vardas457           Pavarde457          10                  5                   6                   
Vardas458           Pavarde458          2                   3                   10                  
Vardas459           Pavarde459          9                   7                   1                   
Vardas460           Pavarde460          3                   6                   6                   
Vardas461           Pavarde461          9                   3                   8                   
Vardas462           Pavarde462          1                   6                   8                   
Vardas463           Pavarde463          6                   1                   3                   
Vardas464           Pavarde464          6                   6                   8                   
Vardas465           Pavarde465          2                   9                   7                   
Vardas466           Pavarde466          8                   1                   5                   
Vardas467           Pavarde467          5                   6                   2                   
Vardas468           Pavarde468          4                   1                   9                   
Vardas469           Pavarde469          10                  1                   5                   
Vardas470           Pavarde470          1                   8                   2                   
Vardas471           Pavarde471          10                  10                  2                   
Vardas472           Pavarde472          2                   5                   10                  
Vardas473           Pavarde473          4                   7                   4                   
Vardas474           Pavarde474          4                   9                   8                   
Vardas475           Pavarde475          5                   3                   7                   
Vardas476           Pavarde476          8                   2                   7                   
Vardas477           Pavarde477          1                   3                   7                   
Vardas478           Pavarde478          2                   8                   5                   
Vardas479           Pavarde479          1                   2                   10                  
Vardas480           Pavarde480          3                   9                   6                   
Vardas481           Pavarde481          6                   6                   3                   
Vardas482           Pavarde482          2                   8                   6                   
Vardas483           Pavarde483          10                  6                   3                   
Vardas484           Pavarde484          8                   3                   1                   
Vardas485           Pavarde485          10                  10                  10                  
Vardas486           Pavarde486          7                   10                  1                   
Vardas487           Pavarde487          1                   9                   9                   
Vardas488           Pavarde488          1                   10                  8                   
Vardas489           Pavarde489          2                   2                   8                   
Vardas490           Pavarde490          7                   7                   5                   
Vardas491           Pavarde491          1                   8                   7                   
Vardas492           Pavarde492          2                   8                   3                   
Vardas493           Pavarde493          3                   4                   3                   
Vardas494           Pavarde494          6                   3                   6                   
Vardas495           Pavarde495          10                  7                   7                   
Vardas496           Pavarde496          9                   9                   2                   
Vardas497           Pavarde497          6                   1                   10                  
Vardas498           Pavarde498          7                   9                   7                   
Vardas499           Pavarde499          3                   3                   5                   
Vardas500           Pavarde500          7                   10                  9                   
Vardas501           Pavarde501          9                   6                   3                   
Vardas502           Pavarde502          2                   8                   3                   
Vardas503           Pavarde503          9                   7                   1                   
Vardas504           Pavarde504          3                   3                   7                   
Vardas505           Pavarde505          4                   2                   7                   
Vardas506           Pavarde506          9                   7                   5                   
Vardas507           Pavarde507          2                   4                   10                  
Vardas508           Pavarde508          1                   10                  1                   
Vardas509           Pavarde509          4                   4                   2                   
Vardas510           Pavarde510          1                   1                   9                   
Vardas511           Pavarde511          5                   8                   5                   
Vardas512           Pavarde512          7                   7                   9                   
Vardas513           Pavarde513          3                   5                   1                   
Vardas514           Pavarde514          6                   5                   10                  
Vardas515           Pavarde515          1                   9                   1                   
Vardas516           Pavarde516          1                   7                   7                   
Vardas517           Pavarde517          4                   3                   1                   
Vardas518           Pavarde518          9                   6                   4                   
Vardas519           Pavarde519          9                   10                  6                   
Vardas520           Pavarde520          7                   3                   1                   
Vardas521           Pavarde521          4                   3                   10                  
Vardas522           Pavarde522          9                   3                   7                   
Vardas523           Pavarde523          5                   8                   8                   
Vardas524           Pavarde524          5                   3                   3                   
Vardas525           Pavarde525          5                   1                   8                   
Vardas526           Pavarde526          9                   6                   7                   
Vardas527           Pavarde527          9                   4                   6                   
Vardas528           Pavarde528          8                   6                   7                   
Vardas529           Pavarde529          1                   4                   4                   
Vardas530           Pavarde530          2                   1                   5                   
Vardas531           Pavarde531          4                   9                   10                  
Vardas532           Pavarde532          6                   1                   8                   
Vardas533           Pavarde533          9                   1                   1                   
Vardas534           Pavarde534          8                   7                   6                   
Vardas535           Pavarde535          2                   6                   3                   
Vardas536           Pavarde536          9                   4                   3                   
Vardas537           Pavarde537          9                   5                   9                   
Vardas538           Pavarde538          10                  6                   3                   
Vardas539           Pavarde539          5                   4                   1                   
Vardas540           Pavarde540          4                   10                  3                   
Vardas541           Pavarde541          10                  5                   9                   
Vardas542           Pavarde542          7                   3                   9                   
Vardas543           Pavarde543          2                   1                   6                   
Vardas544           Pavarde544          7                   5                   7                   
Vardas545           Pavarde545          9                   5                   4                   
Vardas546           Pavarde546          5                   8                   1                   
Vardas547           Pavarde547          10                  1                   6                   
Vardas548           Pavarde548          7                   3                   3                   
Vardas549           Pavarde549          4                   5                   8                   
Vardas550           Pavarde550          4                   2                   10                  
Vardas551           Pavarde551          7                   5                   7                   
Vardas552           Pavarde552          4                   3                   3                   
Vardas553           Pavarde553          6                   6                   6                   
Vardas554           Pavarde554          4                   8                   10                  
Vardas555           Pavarde555          8                   4                   5                   
Vardas556           Pavarde556          7                   1                   4                   
Vardas557           Pavarde557          6                   4                   2                   
Vardas558           Pavarde558          1                   10                  7                   
Vardas559           Pavarde559          8                   9                   2                   
Vardas560           Pavarde560          5                   3                   2                   
Vardas561           Pavarde561          9                   5                   6                   
Vardas562           Pavarde562          2                   8                   3                   
Vardas563           Pavarde563          3                   5                   6                   
Vardas564           Pavarde564          7                   2                   5                   
Vardas565           Pavarde565          6                   5                   1                   
Vardas566           Pavarde566          10                  7                   3                   
Vardas567           Pavarde567          9                   9                   4                   
Vardas568           Pavarde568          7                   3                   7                   
Vardas569           Pavarde569          2                   4                   7                   
Vardas570           Pavarde570          2                   3                   2                   
Vardas571           Pavarde571          5                   6                   8                   
Vardas572           Pavarde572          3                   6                   10                  
Vardas573           Pavarde573          6                   10                  1                   
Vardas574           Pavarde574          5                   8                   9                   
Vardas575           Pavarde575          4                   1                   2                   
Vardas576           Pavarde576          3                   5                   9                   
Vardas577           Pavarde577          1                   4                   2                   
Vardas578           Pavarde578          1                   6                   3                   
Vardas579           Pavarde579          8                   7                   10                  
Vardas580           Pavarde580          3                   7                   7                   
Vardas581           Pavarde581          7                   1                   7                   
Vardas582           Pavarde582          10                  9                   5                   
Vardas583           Pavarde583          1                   2                   7                   
Vardas584           Pavarde584          6                   1                   3                   
Vardas585           Pavarde585          8                   4                   10                  
Vardas586           Pavarde586          9                   4                   2                   
Vardas587           Pavarde587          6                   2                   1                   
Vardas588           Pavarde588          4                   2                   4                   
Vardas589           Pavarde589          6                   9                   3                   
Vardas590           Pavarde590          3                   8                   10                  
Vardas591           Pavarde591          6                   8                   9                   
Vardas592           Pavarde592          10                  10                  4                   
Vardas593           Pavarde593          8                   8                   3                   
Vardas594           Pavarde594          4                   4                   4                   
Vardas595           Pavarde595          1                   1                   2                   
Vardas596           Pavarde596          5                   3                   7                   
Vardas597           Pavarde597          1                   10                  9                   
Vardas598           Pavarde598          1                   6                   10                  
Vardas599           Pavarde599          8                   3                   5                   
Vardas600           Pavarde600          10                  1                   6                   
Vardas601           Pavarde601          4                   3                   6                   
Vardas602           Pavarde602          2                   1                   6                   
Vardas603           Pavarde603          2                   2                   2                   
Vardas604           Pavarde604          7                   8                   9                   
Vardas605           Pavarde605          5                   3                   6                   
Vardas606           Pavarde606          4                   5                   9                   
